Entry	Gene Names (primary)	Gene Names (ordered locus)	Pathway	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	STRING	eggNOG	OrthoDB	UniPathway	CDD	PROSITE	SMART	Pfam	InterPro	Gene Names
Q9HNC4	manC			GDP-mannose biosynthetic process [GO:0009298]		mannose-1-phosphate guanylyltransferase activity [GO:0004475]	64091.VNG_2159G;							PF00483;	IPR005835;IPR029044;	manC VNG_2159G
Q9HNC5	oxrA					oxidoreductase activity [GO:0016491]	64091.VNG_2158G;		67908at2157;						IPR036291;IPR002347;	oxrA VNG_2158G
Q9HNC6							64091.VNG_2157C;					PS50926;		PF01938;	IPR012340;IPR002792;	VNG_2157C
Q9HNC7					integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	glycosyltransferase activity [GO:0016757]	64091.VNG_2156C;							PF13231;	IPR019962;IPR016950;IPR038731;	VNG_2156C
Q9HNC8						catalytic activity [GO:0003824]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]	64091.VNG_2155C;								IPR013785;IPR040087;IPR007197;	VNG_2155C
Q9HNC9					integral component of membrane [GO:0016021]		64091.VNG_2154C;		116265at2157;					PF04123;	IPR007254;	VNG_2154C
Q9HND1							64091.VNG_2152C;		98388at2157;		cd00865;			PF01161;	IPR008914;IPR036610;IPR005247;	VNG_2152C
Q9HND2	etfA			fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]		electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]	64091.VNG_2151G;		83858at2157;		cd01715;		SM00893;	PF01012;PF00766;	IPR029035;IPR014730;IPR001308;IPR033947;IPR014731;IPR014729;	etfA VNG_2151G
Q9HND3	etfB					electron transfer activity [GO:0009055]	64091.VNG_2150G;		75691at2157;		cd01714;		SM00893;	PF01012;	IPR014730;IPR012255;IPR033948;IPR014729;	etfB VNG_2150G
Q9HND4					integral component of membrane [GO:0016021]		64091.VNG_2149H;		50724at2157;							VNG_2149H
Q9HND5							64091.VNG_2148H;		92174at2157;							VNG_2148H
Q9HND6	hmp			methylation [GO:0032259]		2-methyl-6-phytyl-1,4-benzoquinone methyltransferase activity [GO:0051741]	64091.VNG_2147G;					PS51734;		PF08241;	IPR013216;IPR044649;IPR029063;IPR031164;	hmp VNG_2147G
Q9HND7	atpH						64091.VNG_2146H;								IPR014275;	atpH VNG_2146H
Q9HND9	atpK				integral component of membrane [GO:0016021]; proton-transporting V-type ATPase, V0 domain [GO:0033179]	proton-transporting ATPase activity, rotational mechanism [GO:0046961]	64091.VNG_2143G;							PF00137;	IPR002379;IPR000245;IPR035921;	atpK VNG_2143G
Q9HNE8							64091.VNG_2133H;		111819at2157;					PF19792;	IPR046243;	VNG_2133H
Q9HNE9	fer1						64091.VNG_2132G;									fer1 VNG_2132G
Q9HNF1	minD2			negative regulation of cell division [GO:0051782]	cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	64091.VNG_2130G;		105856at2157;					PF10609;	IPR027417;IPR033756;	minD2 parA2 VNG_2130G
Q9HNF2					integral component of membrane [GO:0016021]											VNG_2129H
Q9HNF5	ribA		PATHWAY: Cofactor biosynthesis; riboflavin biosynthesis. {ECO:0000256|ARBA:ARBA00005104}.	riboflavin biosynthetic process [GO:0009231]	cytosol [GO:0005829]	3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	64091.VNG_2125G;			UPA00275;				PF00926;	IPR017945;IPR000422;	ribA VNG_2125G
Q9HNF6	nhaC4				integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		64091.VNG_2124C;		12448at2157;					PF03553;	IPR018461;	nhaC4 VNG_2124C
Q9HNF7	nhaC2				integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		64091.VNG_2123G;		35368at2157;					PF03553;	IPR018461;	nhaC2 VNG_2123G
Q9HNF9					integral component of membrane [GO:0016021]		64091.VNG_2121C;		88136at2157;					PF04367;	IPR007462;	VNG_2121C
Q9HNG0	yusM		PATHWAY: Amino-acid degradation; L-proline degradation into L-glutamate; L-glutamate from L-proline: step 1/2. {ECO:0000256|ARBA:ARBA00004739}.	proline catabolic process to glutamate [GO:0010133]		nucleotide binding [GO:0000166]; proline dehydrogenase activity [GO:0004657]	64091.VNG_2120G;		56193at2157;	UPA00261;				PF01619;	IPR029041;IPR008219;IPR002872;IPR015659;	yusM fadM VNG_2120G
Q9HNG3	apt2				integral component of membrane [GO:0016021]	glycosyltransferase activity [GO:0016757]	64091.VNG_2117C;		97021at2157;		cd06223;			PF00156;	IPR000836;IPR029057;	apt2 VNG_2117C
Q9HNG5	grx1			cell redox homeostasis [GO:0045454]; glutathione metabolic process [GO:0006749]		electron transfer activity [GO:0009055]; glutathione-disulfide reductase (NADPH) activity [GO:0004362]	64091.VNG_2115H;		124641at2157;			PS00195;PS50404;		PF13417;	IPR011767;IPR004045;IPR036249;	grx1 VNG_2115H
Q9HNG6					integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	mechanosensitive ion channel activity [GO:0008381]	64091.VNG_2113C;							PF00924;	IPR010920;IPR045275;IPR006685;IPR011066;IPR011014;IPR023408;	VNG_2113C
Q9HNG9									131277at2157;							VNG_2109H
Q9HNH0	thrC3			cysteine biosynthetic process [GO:0019344]	cytoplasm [GO:0005737]	pyridoxal phosphate binding [GO:0030170]; threonine synthase activity [GO:0004795]	64091.VNG_2108G;		16594at2157;			PS00165;		PF00291;	IPR001926;IPR000634;IPR036052;	thrC3 VNG_2108G
Q9HNH1	sdh					hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; hydrolase activity, acting on ester bonds [GO:0016788]; metal ion binding [GO:0046872]	64091.VNG_2106G;		28939at2157;					PF04952;	IPR007036;IPR043795;	sdh VNG_2106G
Q9HNH2					integral component of membrane [GO:0016021]				132178at2157;							VNG_2105H
Q9HNH3	pchB			potassium ion transport [GO:0006813]		cation transmembrane transporter activity [GO:0008324]	64091.VNG_2104G;		50594at2157;			PS51202;		PF01895;PF02080;	IPR038078;IPR026022;IPR006037;IPR036721;	pchB VNG_2104G
Q9HNH5									132109at2157;							VNG_2101H
Q9HNH7	ridA			organonitrogen compound catabolic process [GO:1901565]	cytosol [GO:0005829]	2-iminobutanoate/2-iminopropanoate deaminase [GO:0120241]; deaminase activity [GO:0019239]	64091.VNG_2099C;		103678at2157;			PS01094;		PF01042;	IPR006056;IPR019897;IPR035959;IPR006175;	ridA VNG_2099C
Q9HNH8					integral component of membrane [GO:0016021]				131595at2157;							VNG_2098H
Q9HNH9					integral component of membrane [GO:0016021]		64091.VNG_2097C;		18140at2157;					PF04235;	IPR007349;	VNG_2097C
Q9HNI1	trh4			response to amino acid [GO:0043200]	cytosol [GO:0005829]	sequence-specific DNA binding [GO:0043565]	64091.VNG_2094G;		97695at2157;		cd00090;	PS50956;	SM00344;	PF01037;	IPR011991;IPR000485;IPR011008;IPR019888;IPR019887;IPR036388;IPR036390;	trh4 lrp VNG_2094G
Q9HNI3					integral component of membrane [GO:0016021]		64091.VNG_2091H;						SM00014;	PF01569;	IPR036938;IPR000326;	VNG_2091H
Q9HNI4					integral component of membrane [GO:0016021]		64091.VNG_2089H;		46529at2157;							VNG_2089H
Q9HNI7	hpb						64091.VNG_2086G;		45846at2157;							hpb phnD VNG_2086G
Q9HNI9	phnE				ATP-binding cassette (ABC) transporter complex [GO:0043190]; integral component of plasma membrane [GO:0005887]	ABC-type phosphonate transporter activity [GO:0015416]	64091.VNG_2084G;		61191at2157;		cd06261;	PS50928;			IPR000515;IPR035906;IPR005769;IPR017797;	phnE VNG_2084G
Q9HNJ1							64091.VNG_2081H;		130128at2157;					PF19099;	IPR043902;	VNG_2081H
Q9HNJ2							64091.VNG_2080C;		103066at2157;				SM00849;	PF00753;	IPR001279;IPR036866;	VNG_2080C
Q9HNJ3	hat2					N-acetyltransferase activity [GO:0008080]	64091.VNG_2078G;		79594at2157;			PS51186;		PF13302;	IPR016181;IPR000182;	hat2 VNG_2078G
Q9HNJ4	mutT					hydrolase activity [GO:0016787]	64091.VNG_2079G;					PS51462;PS00893;		PF00293;	IPR015797;IPR020084;IPR000086;	mutT VNG_2079G
Q9HNJ5	rpl40e	VNG_2076G		translation [GO:0006412]	ribosome [GO:0005840]	structural constituent of ribosome [GO:0003735]	64091.VNG_2076G;		127293at2157;				SM01377;	PF01020;	IPR038587;IPR001975;IPR023657;IPR011332;	rpl40e VNG_2076G
Q9HNJ7							64091.VNG_2074H;		106872at2157;					PF12680;	IPR032710;IPR037401;	VNG_2074H
Q9HNJ9							64091.VNG_2073C;		50620at2157;		cd07726;		SM00849;	PF00753;	IPR001279;IPR036866;IPR037482;	VNG_2073C
Q9HNK0	lfl2					CoA-ligase activity [GO:0016405]	64091.VNG_2071G;		6295at2157;			PS00455;		PF00501;	IPR020845;IPR000873;IPR042099;	lfl2 acs5 VNG_2071G
Q9HNK1					integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	potassium ion transmembrane transporter activity [GO:0015079]; solute:proton antiporter activity [GO:0015299]	64091.VNG_2068C;					PS51202;PS51201;		PF00999;PF02080;PF02254;	IPR006153;IPR006036;IPR038770;IPR036291;IPR006037;IPR036721;IPR003148;	VNG_2068C
Q9HNK2				polysaccharide biosynthetic process [GO:0000271]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		64091.VNG_2067H;		114233at2157;					PF04138;	IPR007267;	VNG_2067H
Q9HNK3	dgs			protein N-linked glycosylation [GO:0006487]		glycosyltransferase activity [GO:0016757]	64091.VNG_2065G;		17570at2157;					PF00535;	IPR001173;IPR029044;	dgs gtl3 VNG_2065G
Q9HNK4	aca			fatty acid beta-oxidation [GO:0006635]		acetyl-CoA C-acetyltransferase activity [GO:0003985]	64091.VNG_2063G;				cd00751;	PS00098;PS00737;PS00099;		PF02803;PF00108;	IPR002155;IPR016039;IPR020615;IPR020610;IPR020617;IPR020613;IPR020616;	aca VNG_2063G
Q9HNK5					integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	glycosyltransferase activity [GO:0016757]	64091.VNG_2064H;		44271at2157;					PF13231;	IPR019962;IPR016950;IPR038731;	VNG_2064H
Q9HNK6	atp			proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	proteasome regulatory particle, base subcomplex [GO:0008540]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proteasome-activating activity [GO:0036402]	64091.VNG_2062G;					PS00674;	SM00382;	PF00004;PF17862;	IPR003593;IPR041569;IPR003959;IPR003960;IPR027417;	atp VNG_2062G
Q9HNK7	phnP					ATP binding [GO:0005524]	64091.VNG_2060G;		73329at2157;				SM00849;	PF12706;	IPR001279;IPR036866;	phnP VNG_2060G
Q9HNK8							64091.VNG_2059H;							PF19100;	IPR043901;	VNG_2059H
Q9HNL0							64091.VNG_2054H;		118267at2157;					PF18477;	IPR029060;IPR041120;	VNG_2054H
Q9HNL3																VNG_2049C
Q9HNL7							64091.VNG_2044H;		122393at2157;					PF19124;	IPR043831;	VNG_2044H
Q9HNL9							64091.VNG_2042H;									VNG_2042H
Q9HNM0																VNG_2041H
Q9HNM1									79941at2157;			PS51318;		PF20127;	IPR045396;IPR006311;	VNG_2039H
Q9HNM2						phosphorelay sensor kinase activity [GO:0000155]			16486at2157;		cd00082;cd00130;	PS50109;PS50112;	SM00387;SM00388;SM00091;	PF13185;PF02518;PF00512;PF08448;	IPR003018;IPR029016;IPR003594;IPR036890;IPR005467;IPR003661;IPR036097;IPR000014;IPR035965;IPR013656;IPR004358;	VNG_2037C
Q9HNM3	hlx1				cytosol [GO:0005829]; protein-DNA complex [GO:0032993]	DNA-binding transcription activator activity [GO:0001216]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]	64091.VNG_2036G;		63240at2157;			PS50110;	SM00448;	PF08663;PF00072;	IPR011006;IPR013971;IPR001789;IPR039420;	hlx1 VNG_2036G
Q9HNM4									130542at2157;							VNG_2035H
Q9HNM5																VNG_2034H
Q9HNM6	fad1			fatty acid beta-oxidation [GO:0006635]		enoyl-CoA hydratase activity [GO:0004300]	64091.VNG_2032G;					PS00166;		PF00378;	IPR029045;IPR018376;IPR001753;	fad1 VNG_2032G
Q9HNM8									115295at2157;							VNG_2029H
Q9HNM9							64091.VNG_2028H;							PF18754;	IPR041135;	VNG_2028H
Q9HNN0					integral component of membrane [GO:0016021]		64091.VNG_2027H;									VNG_2027H
Q9HNN1	yyaI				cytosol [GO:0005829]	O-acyltransferase activity [GO:0008374]	64091.VNG_2025G;		37174at2157;						IPR011004;	yyaI VNG_2025G
Q9HNN2					integral component of membrane [GO:0016021]											VNG_2024H
Q9HNN3	gsp					oxidoreductase activity [GO:0016491]	64091.VNG_2023G;		43721at2157;					PF00248;	IPR023210;IPR036812;	gsp VNG_2023G
Q9HNN5							64091.VNG_2020C;		121662at2157;					PF03551;	IPR005149;IPR036388;IPR036390;	VNG_2020C
Q9HNN6				membrane protein intracellular domain proteolysis [GO:0031293]	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]	metalloendopeptidase activity [GO:0004222]	64091.VNG_2019C;		94875at2157;				SM00228;	PF02163;	IPR001193;IPR001478;IPR036034;IPR008915;	VNG_2019C
Q9HNN9							64091.VNG_2014H;		113217at2157;							VNG_2014H
Q9HNP0					integral component of membrane [GO:0016021]	metalloendopeptidase activity [GO:0004222]	64091.VNG_2012C;		89203at2157;					PF02163;	IPR044838;IPR008915;	VNG_2012C
Q9HNP4							64091.VNG_2006C;		71195at2157;						IPR014729;	VNG_2006C
Q9HNP7	ywaD2			proteolysis [GO:0006508]		aminopeptidase activity [GO:0004177]; metalloexopeptidase activity [GO:0008235]	64091.VNG_2002H;		22723at2157;					PF02225;PF04389;	IPR045175;IPR003137;IPR007484;	ywaD2 VNG_2002H
Q9HNP8	yjbG			peptide metabolic process [GO:0006518]; proteolysis [GO:0006508]		metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	64091.VNG_2001G;							PF01432;PF08439;	IPR013647;IPR042088;IPR045090;IPR001567;IPR004438;	yjbG VNG_2001G
Q9HNQ1							64091.VNG_1998H;		111320at2157;					PF19128;	IPR043835;	VNG_1998H
Q9HNQ3							64091.VNG_1995C;		112213at2157;					PF05239;	IPR027275;IPR011033;	VNG_1995C
Q9HNQ4				maturation of SSU-rRNA [GO:0030490]	preribosome, small subunit precursor [GO:0030688]	endoribonuclease activity [GO:0004521]	64091.VNG_1994C;								IPR039907;IPR036283;IPR029060;	VNG_1994C
Q9HNQ5				CAAX-box protein processing [GO:0071586]	integral component of membrane [GO:0016021]	metalloendopeptidase activity [GO:0004222]	64091.VNG_1993H;		95484at2157;					PF02517;	IPR003675;	VNG_1993H
Q9HNQ7					integral component of membrane [GO:0016021]		64091.VNG_1991H;		101942at2157;							VNG_1991H
Q9HNQ8							64091.VNG_1989H;		114747at2157;					PF19129;	IPR043850;	VNG_1989H
Q9HNR2	nhaC3				integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		64091.VNG_1985C;		12448at2157;					PF03553;	IPR018461;	nhaC3 VNG_1985C
Q9HNR5																VNG_1983H
Q9HNR7					integral component of membrane [GO:0016021]											VNG_1978H
Q9HNR8							64091.VNG_1977H;							PF04326;	IPR007421;IPR038461;	VNG_1977H
Q9HNR9									122191at2157;						IPR036388;IPR036390;	VNG_1976H
Q9HNS0									110197at2157;					PF07790;	IPR013373;IPR012859;	VNG_1974H
Q9HNS1															IPR013783;	VNG_1973H
Q9HNS6					integral component of membrane [GO:0016021]		64091.VNG_1965H;		41908at2157;							VNG_1965H
Q9HNS7	orc14					DNA replication origin binding [GO:0003688]	64091.VNG_1964H;		29429at2157;					PF13191;	IPR041664;IPR027417;	orc14 VNG_1964H
Q9HNS8																VNG_1963H
Q9HNS9				nucleoside phosphate metabolic process [GO:0006753]; ribose phosphate metabolic process [GO:0019693]		hydrolase activity [GO:0016787]	64091.VNG_1962C;		85146at2157;			PS51462;PS00893;		PF00293;	IPR015797;IPR020084;IPR000086;	VNG_1962C
Q9HNT0																VNG_1960H
Q9HNT3																VNG_1956H
Q9HNT4									121852at2157;						IPR036388;IPR036390;	VNG_1954H
Q9HNT5									1920at2157;						IPR014755;IPR026452;	VNG_1953C
Q9HNT6									128776at2157;						IPR008969;	VNG_1952H
Q9HNT7	sub			polysaccharide catabolic process [GO:0000272]		hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; serine-type endopeptidase activity [GO:0004252]	64091.VNG_1951G;		53822at2157;			PS51766;PS00018;PS00136;PS00138;PS51318;		PF00404;PF00082;	IPR002105;IPR016134;IPR036439;IPR018247;IPR000209;IPR036852;IPR023827;IPR023828;IPR015500;IPR006311;	sub VNG_1951G
Q9HNT8	gul2						64091.VNG_1949G;		83765at2157;			PS51371;	SM00116;	PF00571;	IPR000644;IPR046342;	gul2 VNG_1949G
Q9HNT9						catalytic activity [GO:0003824]	64091.VNG_1948H;		87145at2157;						IPR017850;	VNG_1948H
Q9HNU0	purU			'de novo' IMP biosynthetic process [GO:0006189]; one-carbon metabolic process [GO:0006730]		formyltetrahydrofolate deformylase activity [GO:0008864]; hydroxymethyl-, formyl- and related transferase activity [GO:0016742]	64091.VNG_1946G;		48505at2157;			PS51671;		PF00551;	IPR045865;IPR002912;IPR002376;IPR036477;IPR004810;	purU VNG_1946G
Q9HNU3					integral component of membrane [GO:0016021]											VNG_1943H
Q9HNU4									123366at2157;							VNG_1942H
Q9HNU5				tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation [GO:0002926]	cytoplasm [GO:0005737]	4 iron, 4 sulfur cluster binding [GO:0051539]; catalytic activity [GO:0003824]; metal ion binding [GO:0046872]	64091.VNG_1941C;		29724at2157;				SM00729;		IPR039661;IPR006638;IPR005909;	VNG_1941C
Q9HNU6									140976at2157;							VNG_1940H
Q9HNV1					integral component of membrane [GO:0016021]		64091.VNG_1934H;		89405at2157;							VNG_1934H
Q9HNV3	nolA			ubiquinone-6 biosynthetic process [GO:1901006]		protein-containing complex binding [GO:0044877]	64091.VNG_1932G;							PF13460;	IPR016040;IPR036291;	nolA VNG_1932G
Q9HNV5					integral component of membrane [GO:0016021]		64091.VNG_1927H;		127823at2157;							VNG_1927H
Q9HNV6	pdhA1			acetyl-CoA biosynthetic process from pyruvate [GO:0006086]		pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]	64091.VNG_1926G;							PF00676;	IPR001017;IPR017596;IPR029061;	pdhA1 VNG_1926G
Q9HNV7							64091.VNG_1925H;							PF01037;	IPR011008;IPR019887;	VNG_1925H
Q9HNV8	trkA6				plasma membrane [GO:0005886]	potassium ion transmembrane transporter activity [GO:0015079]	64091.VNG_1924G;					PS51202;PS51201;		PF02080;PF02254;	IPR006036;IPR036291;IPR006037;IPR036721;IPR003148;	trkA6 VNG_1924G
Q9HNV9	trh5						64091.VNG_1922G;		125556at2157;					PF01037;	IPR011008;IPR019887;	trh5 VNG_1922G
Q9HNW0							64091.VNG_1920H;		105234at2157;					PF19130;	IPR043851;	VNG_1920H
Q9HNW4							64091.VNG_1917H;		131720at2157;					PF12680;	IPR032710;IPR037401;IPR008317;	VNG_1917H
Q9HNW5							64091.VNG_1916H;		96414at2157;							VNG_1916H
Q9HNW6	ppiA			protein folding [GO:0006457]		peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	64091.VNG_1914G;					PS00170;PS50072;		PF00160;	IPR029000;IPR024936;IPR020892;IPR002130;IPR044666;	ppiA VNG_1914G
Q9HNW7	trpD2			tryptophan biosynthetic process [GO:0000162]	cytosol [GO:0005829]	anthranilate phosphoribosyltransferase activity [GO:0004048]	64091.VNG_1912G;		35427at2157;					PF00591;	IPR005940;IPR000312;IPR036320;IPR035902;	trpD2 VNG_1912G
Q9HNW9					integral component of membrane [GO:0016021]		64091.VNG_1910H;		123698at2157;							VNG_1910H
Q9HNX0									127501at2157;							VNG_1907H
Q9HNX1	fxsA				integral component of membrane [GO:0016021]		64091.VNG_1906H;		101136at2157;					PF04186;	IPR007313;	fxsA VNG_1906H
Q9HNX2				carbohydrate metabolic process [GO:0005975]			64091.VNG_1905C;							PF03190;	IPR008928;IPR012341;IPR004879;IPR024705;IPR036249;	VNG_1905C
Q9HNX3																VNG_1904H
Q9HNX4							64091.VNG_1903C;								IPR036388;	VNG_1903C
Q9HNX5					integral component of membrane [GO:0016021]											VNG_1902H
Q9HNX8	kaiC					ATP binding [GO:0005524]	64091.VNG_1899G;					PS51146;		PF06745;	IPR022420;IPR014774;IPR010624;IPR027417;	kaiC VNG_1899G
Q9HNX9							64091.VNG_1898C;							PF00582;	IPR014729;IPR006015;IPR006016;	VNG_1898C
Q9HNY0							64091.VNG_1896C;		13246at2157;					PF01935;	IPR002789;IPR027417;	VNG_1896C
Q9HNY1							64091.VNG_1895H;		105703at2157;							VNG_1895H
Q9HNY2					integral component of membrane [GO:0016021]		64091.VNG_1894C;		34662at2157;							VNG_1894C
Q9HNY3	trp2					ATP binding [GO:0005524]			71942at2157;			PS50893;	SM00382;	PF00005;	IPR003593;IPR003439;IPR027417;	trp2 VNG_1893G
Q9HNY4							64091.VNG_1891H;		21757at2157;				SM00933;	PF09376;	IPR018977;	VNG_1891H
Q9HNY5																VNG_1890H
Q9HNY6									123714at2157;							VNG_1889H
Q9HNY8							64091.VNG_1886C;		53692at2157;					PF01978;	IPR002831;IPR036388;IPR036390;	VNG_1886C
Q9HNZ2						hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]	64091.VNG_1880C;		9550at2157;		cd01300;			PF07969;	IPR013108;IPR011059;IPR032466;IPR033932;	VNG_1880C
Q9HNZ3	thb			thiamine transport [GO:0015888]		thiamine binding [GO:0030975]	64091.VNG_1879G;		28853at2157;			PS51318;			IPR006311;IPR005948;	thb thiB2 VNG_1879G
Q9HNZ4							64091.VNG_1877C;		126214at2157;					PF01910;	IPR029756;IPR002767;	VNG_1877C
Q9HNZ6							64091.VNG_1874C;		115954at2157;					PF19134;	IPR043855;	VNG_1874C
Q9HNZ9	potA2				ATP-binding cassette (ABC) transporter complex [GO:0043190]	ATP binding [GO:0005524]; transmembrane transporter activity [GO:0022857]	64091.VNG_1871G;		88924at2157;			PS00211;PS50893;	SM00382;	PF00005;PF08402;	IPR003593;IPR003439;IPR017871;IPR008995;IPR027417;IPR013611;	potA2 VNG_1871G
Q9HP00							64091.VNG_1869C;		22089at2157;			PS51318;		PF13416;	IPR006059;IPR006311;	VNG_1869C
Q9HP01	potB			transmembrane transport [GO:0055085]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		64091.VNG_1868G;		65226at2157;		cd06261;	PS50928;		PF00528;	IPR000515;IPR035906;	potB VNG_1868G
Q9HP02	potC			transmembrane transport [GO:0055085]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		64091.VNG_1867G;		97465at2157;		cd06261;	PS50928;		PF00528;	IPR000515;IPR035906;	potC VNG_1867G
Q9HP04							64091.VNG_1865H;		129402at2157;							VNG_1865H
Q9HP05	hit2					catalytic activity [GO:0003824]; nucleotide binding [GO:0000166]	64091.VNG_1864G;		93754at2157;		cd01275;	PS51084;		PF01230;	IPR039383;IPR011146;IPR036265;	hit2 VNG_1864G
Q9HP06	cef				integral component of membrane [GO:0016021]; membrane [GO:0016020]	cation transmembrane transporter activity [GO:0008324]	64091.VNG_1862G;		110591at2157;					PF01545;PF16916;	IPR002524;IPR027470;IPR036837;IPR027469;	cef VNG_1862G
Q9HP09	basB						64091.VNG_1857C;		29553at2157;			PS51318;		PF13458;	IPR028081;IPR028082;IPR006311;	basB VNG_1857C
Q9HP12					integral component of membrane [GO:0016021]		64091.VNG_1852H;							PF01889;	IPR002749;	VNG_1852H
Q9HP13	suk					kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]	64091.VNG_1851G;		98664at2157;			PS00584;		PF00294;	IPR002173;IPR011611;IPR002139;IPR029056;	suk VNG_1851G
Q9HP14	udp1			purine ribonucleoside salvage [GO:0006166]; uridine catabolic process [GO:0006218]	cytosol [GO:0005829]	uridine phosphorylase activity [GO:0004850]	64091.VNG_1850G;		92495at2157;			PS01232;		PF01048;	IPR018016;IPR000845;IPR035994;	udp1 udp3 VNG_1850G
Q9HP15					integral component of membrane [GO:0016021]		64091.VNG_1849H;							PF04982;	IPR007065;IPR014729;	VNG_1849H
Q9HP16	pchA				integral component of membrane [GO:0016021]	potassium channel activity [GO:0005267]	64091.VNG_1847G;					PS51201;		PF07885;PF02254;	IPR003280;IPR013099;IPR036291;IPR003148;	pchA VNG_1847G
Q9HP17							64091.VNG_1848H;							PF02597;	IPR012675;IPR010038;IPR016155;IPR003749;	VNG_1848H
Q9HP18	glpQ			lipid metabolic process [GO:0006629]		glycerophosphodiester phosphodiesterase activity [GO:0008889]	64091.VNG_1846C;		51024at2157;			PS51704;		PF03009;	IPR030395;IPR017946;	glpQ ugpQ VNG_1846C
Q9HP19						N-acetyltransferase activity [GO:0008080]	64091.VNG_1845C;					PS51186;		PF00583;	IPR016181;IPR000182;	VNG_1845C
Q9HP21				regulation of transcription, DNA-templated [GO:0006355]		DNA-binding transcription factor activity [GO:0003700]	64091.VNG_1843C;		87825at2157;		cd00090;	PS50987;	SM00418;	PF01022;	IPR011991;IPR001845;IPR036388;IPR036390;	VNG_1843C
Q9HP22							64091.VNG_1842H;							PF18859;	IPR042226;IPR040783;	VNG_1842H
Q9HP23																VNG_1838H
Q9HP24							64091.VNG_1839H;		28941at2157;					PF07755;PF17396;	IPR035402;IPR035086;IPR027417;IPR011669;	VNG_1839H
Q9HP25	ykfB1			cellular amino acid catabolic process [GO:0009063]		racemase and epimerase activity, acting on amino acids and derivatives [GO:0016855]	64091.VNG_1837G;		62994at2157;		cd03319;	PS00909;	SM00922;	PF13378;PF02746;	IPR034603;IPR036849;IPR029017;IPR029065;IPR018110;IPR013342;IPR034593;IPR013341;	ykfB1 VNG_1837G
Q9HP26	cspD2			regulation of gene expression [GO:0010468]	cytoplasm [GO:0005737]	nucleic acid binding [GO:0003676]	64091.VNG_1836G;		122478at2157;		cd04458;	PS51857;	SM00357;	PF00313;	IPR012156;IPR011129;IPR002059;IPR012340;	cspD2 cspA2 VNG_1836G
Q9HP28	hyrA			cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]	cytoplasm [GO:0005737]	monooxygenase activity [GO:0004497]; thioredoxin peroxidase activity [GO:0008379]			98508at2157;			PS51352;		PF00578;	IPR000866;IPR036249;IPR013766;	hyrA VNG_1834G
Q9HP29						hydrolase activity [GO:0016787]	64091.VNG_1833C;		99930at2157;						IPR029058;	VNG_1833C
Q9HP30																VNG_1832H
Q9HP31																VNG_1831H
Q9HP34							64091.VNG_1827H;		106416at2157;							VNG_1827H
Q9HP35									127648at2157;							VNG_1826H
Q9HP36					cytoplasm [GO:0005737]		64091.VNG_1823C;		88805at2157;					PF01812;	IPR002698;IPR024185;IPR037171;	VNG_1823C
Q9HP38	adh4					NADPH:quinone reductase activity [GO:0003960]	64091.VNG_1821G;		56644at2157;				SM00829;	PF08240;PF00107;	IPR013149;IPR013154;IPR011032;IPR036291;IPR020843;	adh4 qor1 VNG_1821G
Q9HP39					integral component of membrane [GO:0016021]				115040at2157;							VNG_1820H
